label,qp,poc,tid,slice_type,source,bits,psnr_y_db,psnr_u_db,psnr_v_db,bit_ratio_applied,et_sec_of_source_run
Campfire_RA_head7_recon,22,0,0,I-SLICE,measured,5551704.0,43.5203,46.7428,44.2626,,18940.896
Campfire_RA_head7_recon,22,32,0,I-SLICE,measured,5751072.0,42.3329,46.1987,43.8544,,20036.021
Campfire_RA_head7_recon,22,16,1,B-SLICE,measured,3454464.0,41.3811,43.9985,43.191,,13659.21
Campfire_RA_head7_recon,22,8,2,B-SLICE,measured,2667552.0,41.5732,43.5967,43.7192,,13318.264
Campfire_RA_head7_recon,22,4,3,B-SLICE,measured,2058880.0,41.5307,42.5356,43.3523,,6763.166
Campfire_RA_head7_recon,22,2,4,B-SLICE,measured,1228288.0,39.9021,41.2167,42.8626,,5616.315
Campfire_RA_head7_recon,22,1,5,B-SLICE,measured,810072.0,39.2726,40.5972,42.8493,,4240.291
Campfire_RA_head7_recon,27,0,0,I-SLICE,measured,2512808.0,40.3763,43.344,42.8633,,16737.606
Campfire_RA_head7_recon,27,32,0,I-SLICE,measured,2394496.0,38.9461,42.9345,42.7152,,16571.249
Campfire_RA_head7_recon,27,16,1,B-SLICE,measured,996424.0,38.4933,40.6229,41.9375,,20129.365
Campfire_RA_head7_recon,27,8,2,B-SLICE,measured,662400.0,38.7077,39.9919,42.4432,,15429.141
Campfire_RA_head7_recon,27,4,3,B-SLICE,estimated,465076.5,38.71077,38.57823,42.0297,0.999855,8460.539
Campfire_RA_head7_recon,27,2,4,B-SLICE,estimated,360834.6,38.19663,37.50513,41.4949,1.000939,3985.188
Campfire_RA_head7_recon,27,1,5,B-SLICE,estimated,277513.8,37.951,37.01483,41.35257,0.994502,2823.416
Campfire_RA_head7_recon,32,0,0,I-SLICE,measured,1027416.0,38.3824,40.3437,41.6131,,11800.652
Campfire_RA_head7_recon,32,32,0,I-SLICE,measured,1129360.0,37.5548,40.0678,41.6364,,11847.243
Campfire_RA_head7_recon,32,16,1,B-SLICE,measured,474480.0,37.2359,37.4028,40.526,,13136.23
Campfire_RA_head7_recon,32,8,2,B-SLICE,measured,327704.0,37.6251,37.2012,41.0642,,9813.96
Campfire_RA_head7_recon,32,4,3,B-SLICE,estimated,244742.3,37.47833,36.25097,40.616,0.999927,6838.13
Campfire_RA_head7_recon,32,2,4,B-SLICE,estimated,199837.8,36.84787,35.78557,40.1845,1.00047,3004.095
Campfire_RA_head7_recon,32,1,5,B-SLICE,estimated,163118.4,36.6859,35.29967,40.03883,0.997251,2269.736
Campfire_RA_head7_recon,37,0,0,I-SLICE,measured,511952.0,37.1593,37.4935,39.9524,,8879.519
Campfire_RA_head7_recon,37,32,0,I-SLICE,measured,582912.0,36.3545,37.2873,40.1026,,9230.875
Campfire_RA_head7_recon,37,16,1,B-SLICE,measured,259416.0,35.4235,35.5179,38.6393,,6429.914
Campfire_RA_head7_recon,37,8,2,B-SLICE,measured,171144.0,36.0132,34.9634,39.1695,,5069.454
Campfire_RA_head7_recon,37,4,3,B-SLICE,measured,130536.0,35.878,34.0381,38.8543,,4528.276
Campfire_RA_head7_recon,37,2,4,B-SLICE,measured,96096.0,35.1202,33.1382,38.1673,,2131.385
Campfire_RA_head7_recon,37,1,5,B-SLICE,measured,78464.0,34.9332,32.7721,38.0339,,1687.181
