sequence,config,comparison,U,V,Y
BasketballDrill,AI,ECM-vs-JM,-63.26,-66.88,-64.54
BasketballDrill,AI,ECM-vs-VTM,-23.07,-24.89,-23.17
BasketballDrill,AI,HM-vs-JM,-31.41,-31.93,-30.05
BasketballDrill,AI,VTM-vs-HM,-33.61,-38.45,-33.63
BasketballDrill,AI,VTM-vs-JM,-52.94,-56.73,-53.75
BasketballDrill,RA,ECM-vs-JM,-77.90,-78.68,-74.75
BasketballDrill,RA,ECM-vs-VTM,-29.08,-30.51,-27.76
BasketballDrill,RA,HM-vs-JM,-50.01,-49.32,-46.40
BasketballDrill,RA,VTM-vs-HM,-38.28,-40.90,-35.15
BasketballDrill,RA,VTM-vs-JM,-68.75,-69.49,-65.22
BlowingBubbles,AI,ECM-vs-JM,-24.88,-29.16,-38.42
BlowingBubbles,AI,ECM-vs-VTM,-3.33,-6.89,-11.77
BlowingBubbles,AI,HM-vs-JM,-16.02,-16.43,-14.20
BlowingBubbles,AI,VTM-vs-HM,-7.33,-9.12,-18.57
BlowingBubbles,AI,VTM-vs-JM,-22.35,-24.04,-30.17
BlowingBubbles,RA,ECM-vs-JM,-59.89,-62.14,-59.88
BlowingBubbles,RA,ECM-vs-VTM,-18.51,-16.49,-22.08
BlowingBubbles,RA,HM-vs-JM,-39.82,-42.43,-32.38
BlowingBubbles,RA,VTM-vs-HM,-18.25,-21.99,-24.82
BlowingBubbles,RA,VTM-vs-JM,-50.77,-54.95,-48.66
