sequence,run,weighting,qp,frames,bitrate_kbps,y_psnr_db_mse_mean,y_psnr_db_arith_mean,enc_time_sec,total_bits
Campfire,ctc,plain,22,7,92237.28,41.15868,41.35899,,21522032.0
Campfire,ctc,plain,27,7,32869.512,38.71224,38.76883,,7669552.899999999
Campfire,ctc,plain,32,7,15285.679,37.37097,37.40147,,3566658.4999999995
Campfire,ctc,plain,37,7,7845.086,35.78353,35.84027,,1830520.0
Campfire,nogbi,plain,22,7,92273.829,41.16238,41.36136,77761.539,21530560
Campfire,nogbi,plain,27,7,32859.703,38.71329,38.76959,85008.061,7667264
Campfire,nogbi,plain,32,7,15288.617,37.37143,37.40183,59529.028,3567344
Campfire,nogbi,plain,37,7,7845.086,35.78353,35.84027,39196.454,1830520
Campfire,ctc,tid,22,7,46468.473,39.99206,41.35899,,21522032.0
Campfire,ctc,tid,27,7,14923.392,38.24384,38.76883,,7669552.899999999
Campfire,ctc,tid,32,7,7703.845,36.95359,37.40147,,3566658.4999999995
Campfire,ctc,tid,37,7,3857.185,35.25353,35.84027,,1830520.0
Campfire,nogbi,tid,22,7,46562.582,40.00211,41.36136,77761.539,21530560
Campfire,nogbi,tid,27,7,14940.516,38.24958,38.76959,85008.061,7667264
Campfire,nogbi,tid,32,7,7711.069,36.95653,37.40183,59529.028,3567344
Campfire,nogbi,tid,37,7,3857.185,35.25353,35.84027,39196.454,1830520
RollerCoaster2,ctc,plain,22,7,39793.783,45.83861,45.88451,64938.078,4642608
RollerCoaster2,ctc,plain,27,7,19753.851,44.40001,44.45693,53428.015,2304616
RollerCoaster2,ctc,plain,32,7,10418.057,42.57817,42.66536,34744.222,1215440
RollerCoaster2,ctc,plain,37,7,5719.063,40.46459,40.5552,21776.651,667224
RollerCoaster2,nogbi,plain,22,7,39834.583,45.83785,45.88367,57629.173,4647368
RollerCoaster2,nogbi,plain,27,7,19733.897,44.40224,44.45894,49498.848,2302288
RollerCoaster2,nogbi,plain,32,7,10416.411,42.56561,42.65384,33387.345,1215248
RollerCoaster2,nogbi,plain,37,7,5719.063,40.46459,40.5552,20696.244,667224
RollerCoaster2,ctc,tid,22,7,17065.833,45.32455,45.88451,64938.078,4642608
RollerCoaster2,ctc,tid,27,7,7416.756,43.8805,44.45693,53428.015,2304616
RollerCoaster2,ctc,tid,32,7,3491.229,42.11695,42.66536,34744.222,1215440
RollerCoaster2,ctc,tid,37,7,1782.618,40.10475,40.5552,21776.651,667224
RollerCoaster2,nogbi,tid,22,7,17054.807,45.32612,45.88367,57629.173,4647368
RollerCoaster2,nogbi,tid,27,7,7433.396,43.8905,44.45894,49498.848,2302288
RollerCoaster2,nogbi,tid,32,7,3479.491,42.08952,42.65384,33387.345,1215248
RollerCoaster2,nogbi,tid,37,7,1782.618,40.10475,40.5552,20696.244,667224
ParkScene,ctc,plain,22,7,19619.52,41.44555,41.48451,25501.883,5722360
ParkScene,ctc,plain,27,7,10795.227,39.4515,39.48564,23985.997,3148608
ParkScene,ctc,plain,32,7,5713.344,37.04488,37.08253,17510.237,1666392
ParkScene,ctc,plain,37,7,2881.097,34.504,34.5394,12933.72,840320
ParkScene,nogbi,plain,22,7,19611.84,41.4412,41.48051,25139.938,5720120
ParkScene,nogbi,plain,27,7,10801.646,39.45629,39.49026,23801.889,3150480
ParkScene,nogbi,plain,32,7,5709.202,37.03755,37.07557,17333.032,1665184
ParkScene,nogbi,plain,37,7,2881.097,34.504,34.5394,12929.56,840320
ParkScene,ctc,tid,22,7,5868.375,41.09558,41.48451,25501.883,5722360
ParkScene,ctc,tid,27,7,2891.043,39.19956,39.48564,23985.997,3148608
ParkScene,ctc,tid,32,7,1420.445,36.95148,37.08253,17510.237,1666392
ParkScene,ctc,tid,37,7,690.868,34.55096,34.5394,12933.72,840320
ParkScene,nogbi,tid,22,7,5854.918,41.08947,41.48051,25139.938,5720120
ParkScene,nogbi,tid,27,7,2892.439,39.20825,39.49026,23801.889,3150480
