job_id,encoder,sequence,config,qp,frames_encoded,bitrate_kbps,psnr_y_db,psnr_u_db,psnr_v_db,enc_time_sec
0001_jm_BasketballDrill_AI_QP22,jm,BasketballDrill,AI,22,8,3348.51,41.507,43.828,44.489,9.959
0002_jm_BasketballDrill_AI_QP27,jm,BasketballDrill,AI,27,8,1861.25,37.958,40.912,41.069,7.698
0003_jm_BasketballDrill_AI_QP32,jm,BasketballDrill,AI,32,8,1000.38,35.117,38.167,38.121,6.402
0004_jm_BasketballDrill_AI_QP37,jm,BasketballDrill,AI,37,8,552.24,32.573,36.029,35.748,5.756
0005_jm_BasketballDrill_RA_QP22,jm,BasketballDrill,RA,22,64,5139.77,40.187,42.98,43.492,175.18
0006_jm_BasketballDrill_RA_QP27,jm,BasketballDrill,RA,27,64,2464.89,36.901,40.489,40.474,160.273
0007_jm_BasketballDrill_RA_QP32,jm,BasketballDrill,RA,32,64,1206.99,34.006,38.139,37.841,144.625
0008_jm_BasketballDrill_RA_QP37,jm,BasketballDrill,RA,37,64,636.02,31.434,36.039,35.424,135.068
0009_jm_BlowingBubbles_AI_QP22,jm,BlowingBubbles,AI,22,8,1313.85,41.186,42.401,43.5,2.942
0010_jm_BlowingBubbles_AI_QP27,jm,BlowingBubbles,AI,27,8,775.85,37.015,39.421,40.426,2.351
0011_jm_BlowingBubbles_AI_QP32,jm,BlowingBubbles,AI,32,8,422.21,33.352,37.112,38.061,1.853
0012_jm_BlowingBubbles_AI_QP37,jm,BlowingBubbles,AI,37,8,218.66,30.254,35.159,36.204,1.588
0013_jm_BlowingBubbles_RA_QP22,jm,BlowingBubbles,RA,22,64,2555.53,38.478,41.127,42.496,53.742
0014_jm_BlowingBubbles_RA_QP27,jm,BlowingBubbles,RA,27,64,1132.25,34.866,38.629,39.868,45.453
0015_jm_BlowingBubbles_RA_QP32,jm,BlowingBubbles,RA,32,64,525.09,31.626,36.65,37.778,41.139
0016_jm_BlowingBubbles_RA_QP37,jm,BlowingBubbles,RA,37,64,249.71,28.822,34.801,36.067,38.193
0017_hm_BasketballDrill_AI_QP22,hm,BasketballDrill,AI,22,8,2569.9,41.7686,43.8422,44.4699,7.169
0018_hm_BasketballDrill_AI_QP27,hm,BasketballDrill,AI,27,8,1398.1375,38.4052,41.0687,41.3282,5.788
0019_hm_BasketballDrill_AI_QP32,hm,BasketballDrill,AI,32,8,750.6625,35.4493,38.8457,38.8843,4.927
0020_hm_BasketballDrill_AI_QP37,hm,BasketballDrill,AI,37,8,415.2313,32.8192,37.2121,37.0531,4.356
0021_hm_BasketballDrill_RA_QP22,hm,BasketballDrill,RA,22,64,3286.4188,40.7091,43.3272,43.8151,147.788
0022_hm_BasketballDrill_RA_QP27,hm,BasketballDrill,RA,27,64,1539.9375,37.6108,41.1929,41.2085,121.444
0023_hm_BasketballDrill_RA_QP32,hm,BasketballDrill,RA,32,64,783.4188,34.7656,39.0648,38.8624,106.602
0024_hm_BasketballDrill_RA_QP37,hm,BasketballDrill,RA,37,64,407.5,32.1903,37.0986,36.8218,95.575
0025_hm_BlowingBubbles_AI_QP22,hm,BlowingBubbles,AI,22,8,1147.1063,41.1133,42.4343,43.6072,2.102
0026_hm_BlowingBubbles_AI_QP27,hm,BlowingBubbles,AI,27,8,671.0063,37.1118,39.437,40.5144,1.743
0027_hm_BlowingBubbles_AI_QP32,hm,BlowingBubbles,AI,32,8,371.5438,33.5339,37.3083,38.248,1.418
